name,facts,description,icon,type,weapon_type,professions,slot,flags,id,chat_link
Well of Darkness,Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|25|Unblockable|Unblockable|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|true|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/09770136BB76FD0DBE1CC4267DEED54774CB20F6/102837.png|3|Blinded|Next outgoing attack misses; stacks duration.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/28C4EC547A3516AF0242E826772DA43A5EAC3DF3/102839.png|2|Chilled|Movement speed decreased by 66%; skill cooldown increased by 66%; stacks duration.|1|Number of Targets|Number|https://render.guildwars2.com/file/BBE8191A494B0352259C10EADFDACCE177E6DA5B/1770208.png|5|Pulse|Time|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|1|Duration|Time|https://render.guildwars2.com/file/7B2193ACCF77E56C13E608191B082D68AA0FAA71/156659.png|5|Radius|Distance|https://render.guildwars2.com/file/B0CD8077991E4FB1622D2930337ED7F9B54211D5/156665.png|240|Combo Field|ComboField|https://render.guildwars2.com/file/59E0DB6A699810641C959926ADFEF73E08CC255B/156655.png|Dark,"Well. Target area pulses, blinding foes with each pulse.",https://render.guildwars2.com/file/73CD1C36D50DD05FA009A5119166AF9BF665B5F1/103566.png,Utility,None,Necromancer,Utility,,10672,[&BrApAAA=]
Well of Power,"Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|25|StunBreak|StunBreak|https://render.guildwars2.com/file/DCF0719729165FD8910E034CA4E0780F90582D15/156654.png|true|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/3D3A1C2D6D791C05179AB871902D28782C65C244/415959.png|1|Stability|Cannot be knocked down, pushed back, pulled, launched, stunned, dazed, floated, sunk, feared, or taunted.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/2FA9DF9D6BC17839BBEA14723F1C53D645DDB5E1/102852.png|8|Might|Increased outgoing damage; stacks intensity.|6|Conditions Converted to Boons|Number|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|1|Number of Targets|Number|https://render.guildwars2.com/file/BBE8191A494B0352259C10EADFDACCE177E6DA5B/1770208.png|5|Pulse|Time|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|1|Duration|Time|https://render.guildwars2.com/file/7B2193ACCF77E56C13E608191B082D68AA0FAA71/156659.png|5|Radius|Distance|https://render.guildwars2.com/file/B0CD8077991E4FB1622D2930337ED7F9B54211D5/156665.png|240|Combo Field|ComboField|https://render.guildwars2.com/file/59E0DB6A699810641C959926ADFEF73E08CC255B/156655.png|Dark","Well. Target area pulses, converting conditions on allies into boons.",https://render.guildwars2.com/file/5C0B58BEB6960B78BE25EDC00673D859D31C55D0/103825.png,Utility,None,Necromancer,Utility,,10673,[&BrEpAAA=]
Well of Suffering,Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|25|Unblockable|Unblockable|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|true|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|6|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/3A394C1A0A3257EB27A44842DDEEF0DF000E1241/102850.png|5|Vulnerability|Damage and condition damage taken are increased; stacks intensity.|2|Number of Targets|Number|https://render.guildwars2.com/file/BBE8191A494B0352259C10EADFDACCE177E6DA5B/1770208.png|5|Pulse|Time|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|1|Duration|Time|https://render.guildwars2.com/file/7B2193ACCF77E56C13E608191B082D68AA0FAA71/156659.png|6|Radius|Distance|https://render.guildwars2.com/file/B0CD8077991E4FB1622D2930337ED7F9B54211D5/156665.png|240|Combo Field|ComboField|https://render.guildwars2.com/file/59E0DB6A699810641C959926ADFEF73E08CC255B/156655.png|Dark,"Well. Target area pulses, damaging foes and inflicting vulnerability.",https://render.guildwars2.com/file/44002EEFB097C4D23F5B0DF3004F90171D022EA8/103570.png,Utility,None,Necromancer,Utility,,10674,[&BrIpAAA=]
Spectral Walk,Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|30|StunBreak|StunBreak|https://render.guildwars2.com/file/DCF0719729165FD8910E034CA4E0780F90582D15/156654.png|true|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/5C04E817070BDB27A4196C9AD5CFB0AE059FFC54/103846.png|10|Spectral Walk|Consume conditions to gain life force.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/20CFC14967E67F7A3FD4A4B8722B4CF5B8565E11/102836.png|24|Swiftness|Movement speed increased by 33%; stacks duration.|1|Life Force per Condition|Percent|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|4|Condition-Removal Interval|Time|https://render.guildwars2.com/file/B75E91EB22E0DFCC1D08030204055946506D56F6/1770206.png|2,"Spectral. Create a shadowy tether and become spectral, consuming conditions for life force. You may return to your initial position by using Spectral Recall.",https://render.guildwars2.com/file/5C04E817070BDB27A4196C9AD5CFB0AE059FFC54/103846.png,Utility,None,Necromancer,Utility,,10685,[&Br0pAAA=]
Spectral Recall,,Return to the point where Spectral Walk began.,https://render.guildwars2.com/file/3329021651370622FBE6099FC1DE05C971164CCD/103847.png,Utility,None,Necromancer,Utility,,10687,[&Br8pAAA=]
Corrosive Poison Cloud,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|900|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|30|Unblockable|Unblockable|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|true|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/559B0AF9FB5E1243D2649FAAE660CCB338AACC19/102840.png|2|Poisoned|Deals damage every second; decreases healing effectiveness by 33%; damage stacks intensity.|4|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/6CB0E64AF9AA292E332A38C1770CE577E2CDE0E8/102853.png|3|Weakness|Endurance regeneration decreased by 50%. 50% of hits are Glancing Blows (50% damage). Stacks duration.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/6CB0E64AF9AA292E332A38C1770CE577E2CDE0E8/102853.png|6|Weakness|Endurance regeneration decreased by 50%. 50% of hits are Glancing Blows (50% damage). Stacks duration.|1|Duration|Time|https://render.guildwars2.com/file/7B2193ACCF77E56C13E608191B082D68AA0FAA71/156659.png|8|Duration|Time|https://render.guildwars2.com/file/7B2193ACCF77E56C13E608191B082D68AA0FAA71/156659.png|6|Radius|Distance|https://render.guildwars2.com/file/B0CD8077991E4FB1622D2930337ED7F9B54211D5/156665.png|240|Number of Targets|Number|https://render.guildwars2.com/file/BBE8191A494B0352259C10EADFDACCE177E6DA5B/1770208.png|5|Blocks Missiles|NoData|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|Combo Field|ComboField|https://render.guildwars2.com/file/59E0DB6A699810641C959926ADFEF73E08CC255B/156655.png|Poison,Corruption. Weaken yourself and envelope the target area in a noxious cloud that blocks enemy missiles and poisons foes and leaves them weakened.,https://render.guildwars2.com/file/2B32FAFBD66F35AB51C3D97E910912AB74DD57A0/102897.png,Utility,None,Necromancer,Utility,"GroundTargeted,NoUnderwater",10689,[&BsEpAAA=]
Plague Blast,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|900|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|1|1|Conditions Transferred|Number|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|1|Pierces|NoData|https://render.guildwars2.com/file/F833590B593E0C2D4948DFFE9951B91655250052/1770207.png|Number of Targets|Number|https://render.guildwars2.com/file/BBE8191A494B0352259C10EADFDACCE177E6DA5B/1770208.png|5,Blast a foe with a plague that transfers one condition to them.,https://render.guildwars2.com/file/E163E6D4B3E0DE946C00002526947BA20B542D40/103260.png,Profession,None,Necromancer,Downed_1,,10690,[&BsIpAAA=]
Cruel Strike,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|150|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|1|1.1,Chain. Stab your foe.,https://render.guildwars2.com/file/CD08CE65F3E2A61C9AF0014E7EF0C4161CEF39AC/103848.png,Weapon,Spear,Necromancer,Weapon_1,,10692,[&BsQpAAA=]
Wicked Strike,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|130|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|1|1.2,Chain. Strike your foe again.,https://render.guildwars2.com/file/60EEE61AC6EA976A61A8DDE3D007B8C306AD1ABE/103849.png,Weapon,Spear,Necromancer,Weapon_1,,10693,[&BsUpAAA=]
Wicked Spiral,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|130|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|8|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|6|0.666|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/3A394C1A0A3257EB27A44842DDEEF0DF000E1241/102850.png|10|Vulnerability|Damage and condition damage taken are increased; stacks intensity.|1|Radius|Distance|https://render.guildwars2.com/file/B0CD8077991E4FB1622D2930337ED7F9B54211D5/156665.png|180|Number of Targets|Number|https://render.guildwars2.com/file/BBE8191A494B0352259C10EADFDACCE177E6DA5B/1770208.png|5|Combo Finisher|ComboFinisher|https://render.guildwars2.com/file/A513F3653D33FBA4220D2D307799F8A327A36A3B/156656.png|100|Whirl,"Spin multiple times, dealing damage and applying vulnerability to each foe struck.",https://render.guildwars2.com/file/382BEFB3CD0AEC29110CB938016FF0053BDB34DB/103850.png,Weapon,Spear,Necromancer,Weapon_2,,10694,[&BsYpAAA=]
Deadly Catch,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|600|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|25|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|1|0.75|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/070325E519C178D502A8160523766070D30C0C19/102838.png|6|Crippled|Movement speed decreased by 50%; stacks duration.|1|Number of Targets|Number|https://render.guildwars2.com/file/BBE8191A494B0352259C10EADFDACCE177E6DA5B/1770208.png|5|Combo Finisher|ComboFinisher|https://render.guildwars2.com/file/A513F3653D33FBA4220D2D307799F8A327A36A3B/156656.png|100|Whirl,"Whirl around, throwing spears that cripple foes and pull them to you.",https://render.guildwars2.com/file/0411CACFFEDEF2BC907C02EA0A4E072E6F10B042/103851.png,Weapon,Spear,Necromancer,Weapon_4,,10695,[&BscpAAA=]
Blood Curse,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|900|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|1|0.35|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/79FF0046A5F9ADA3B4C4EC19ADB4CB124D5F0021/102848.png|5|Bleeding|Deals damage every second; stacks intensity.|1,Chain. Bleed your foe.,https://render.guildwars2.com/file/94DEDA71DAE6C060D1FEF97E5BA7A99BBB574F18/103094.png,Weapon,Scepter,Necromancer,Weapon_1,NoUnderwater,10698,[&BsopAAA=]
Rending Curse,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|900|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|1|0.35|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/79FF0046A5F9ADA3B4C4EC19ADB4CB124D5F0021/102848.png|5|Bleeding|Deals damage every second; stacks intensity.|1,Chain. Bleed your foe.,https://render.guildwars2.com/file/78E39426079A026BC3459512BB589538A511BAB4/1228811.png,Weapon,Scepter,Necromancer,Weapon_1,NoUnderwater,10699,[&BsspAAA=]
Unholy Feast,Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|12|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|1|2|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/070325E519C178D502A8160523766070D30C0C19/102838.png|5|Crippled|Movement speed decreased by 50%; stacks duration.|1|Number of Targets|Number|https://render.guildwars2.com/file/BBE8191A494B0352259C10EADFDACCE177E6DA5B/1770208.png|5|Boons Removed|Number|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|2|Boons Removed|Number|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|1|Radius|Distance|https://render.guildwars2.com/file/B0CD8077991E4FB1622D2930337ED7F9B54211D5/156665.png|600|Health Threshold|Percent|https://render.guildwars2.com/file/B0CD8077991E4FB1622D2930337ED7F9B54211D5/156665.png|50,Cripple nearby foes and remove their boons. Release an Unholy Burst on foes below the health threshold.,https://render.guildwars2.com/file/2A1707BB93BBF8B1A414D37BBFC5CAC90105D5DF/103567.png,Weapon,Axe,Necromancer,Weapon_3,NoUnderwater,10701,[&Bs0pAAA=]
Necrotic Slash,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|130|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|2|0.45|Number of Targets|Number|https://render.guildwars2.com/file/BBE8191A494B0352259C10EADFDACCE177E6DA5B/1770208.png|2,Chain. Slash your foe twice.,https://render.guildwars2.com/file/05EE0A5CE7B645C83F3008FCD8C9AD2002C744D1/103095.png,Weapon,Dagger,Necromancer,Weapon_1,NoUnderwater,10702,[&Bs4pAAA=]
Necrotic Stab,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|130|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|1|0.9|Life Force|Percent|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|4|Number of Targets|Number|https://render.guildwars2.com/file/BBE8191A494B0352259C10EADFDACCE177E6DA5B/1770208.png|2,Chain. Strike your foe again.,https://render.guildwars2.com/file/05EE0A5CE7B645C83F3008FCD8C9AD2002C744D1/103095.png,Weapon,Dagger,Necromancer,Weapon_1,NoUnderwater,10703,[&Bs8pAAA=]
Necrotic Bite,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|130|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|1|1.3|Life Force|Percent|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|8|Number of Targets|Number|https://render.guildwars2.com/file/BBE8191A494B0352259C10EADFDACCE177E6DA5B/1770208.png|2,Strike your foe and gain life force.,https://render.guildwars2.com/file/0BED96F7290CECDDDA5DD1CB5B4FC07BAD5115F6/103852.png,Weapon,Dagger,Necromancer,Weapon_1,NoUnderwater,10704,[&BtApAAA=]
Deathly Swarm,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|900|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|16|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|1|1.2|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/09770136BB76FD0DBE1CC4267DEED54774CB20F6/102837.png|6|Blinded|Next outgoing attack misses; stacks duration.|1|Number of Bounces|Number|https://render.guildwars2.com/file/BBE8191A494B0352259C10EADFDACCE177E6DA5B/1770208.png|3|Conditions Transferred|Number|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|2|Conditions Transferred|Number|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|3,Unleash an insect swarm to blind and transfer conditions to your enemies.,https://render.guildwars2.com/file/37CB51AAB9B396156995DA692F019C266A919C33/103279.png,Weapon,Dagger,Necromancer,Weapon_4,NoUnderwater,10705,[&BtEpAAA=]
Enfeebling Blood,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|900|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|20|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|1|1.5|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/79FF0046A5F9ADA3B4C4EC19ADB4CB124D5F0021/102848.png|10|Bleeding|Deals damage every second; stacks intensity.|3|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/6CB0E64AF9AA292E332A38C1770CE577E2CDE0E8/102853.png|6|Weakness|Endurance regeneration decreased by 50%. 50% of hits are Glancing Blows (50% damage). Stacks duration.|1|Radius|Distance|https://render.guildwars2.com/file/B0CD8077991E4FB1622D2930337ED7F9B54211D5/156665.png|240|Number of Targets|Number|https://render.guildwars2.com/file/BBE8191A494B0352259C10EADFDACCE177E6DA5B/1770208.png|5,Inflict weakness and bleeding on foes in the target area.,https://render.guildwars2.com/file/3566470D2DCB5A01CE4E1D2EF09503B07108B9BD/103010.png,Weapon,Dagger,Necromancer,Weapon_5,"GroundTargeted,NoUnderwater",10706,[&BtIpAAA=]
Feast of Corruption,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|900|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|10|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|1|0.8|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|1|1|Life Force|Percent|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|8|Life Force per Condition|Percent|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/10BABF2708CA3575730AC662A2E72EC292565B08/598887.png|4|Torment|Deals damage every second. Deals additional damage to foes that aren't moving. Stacks intensity.|1|Condition Threshold|Number|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|5|Boons Converted to Conditions|Number|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|3|Boons Converted to Conditions|Number|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|1,"Strike your target, gain life force, and corrupt boons on your foe. For each condition on your target up to the condition threshold, gain additional life force and inflict torment.",https://render.guildwars2.com/file/1A5ABCCAB674DDF7E4080EB30B372A6425BE0232/103801.png,Weapon,Scepter,Necromancer,Weapon_3,NoUnderwater,10709,[&BtUpAAA=]
Mistfire Wolf,Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|150|Duration|Time|https://render.guildwars2.com/file/7B2193ACCF77E56C13E608191B082D68AA0FAA71/156659.png|30,Summon a Mistfire Wolf to fight at your side.,https://render.guildwars2.com/file/53D8C2BFE7303851C007FB96D53AE9AF9FC0707A/347244.png,Elite,None,"Guardian,Warrior,Engineer,Ranger,Thief,Elementalist,Mesmer,Necromancer",Elite,NoUnderwater,10800,[&BjAqAAA=]
Rending Lunge,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|300|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|20,A basic melee attack.,https://render.guildwars2.com/file/5768E4562820674064E06BA30DB994D762F4561D/103044.png,,,,,,11164,[&BpwrAAA=]
Technobabble,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|1200|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|45|Daze|Time|https://render.guildwars2.com/file/9AE125E930C92FEA0DD99E7EBAEDE4CF5EC556B6/433474.png|3,Daze target foe.,https://render.guildwars2.com/file/BFBD285D7C5E70230EE0AD230BD44D0FC77E5AB4/240693.png,Utility,None,"Guardian,Warrior,Engineer,Ranger,Thief,Elementalist,Mesmer,Necromancer",Utility,NoUnderwater,12318,[&Bh4wAAA=]
Radiation Field,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|1200|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|60|Unblockable|Unblockable|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|true|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|1|0.5|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/559B0AF9FB5E1243D2649FAAE660CCB338AACC19/102840.png|6|Poisoned|Deals damage every second; decreases healing effectiveness by 33%; damage stacks intensity.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/6CB0E64AF9AA292E332A38C1770CE577E2CDE0E8/102853.png|3|Weakness|Endurance regeneration decreased by 50%. 50% of hits are Glancing Blows (50% damage). Stacks duration.|1|Duration|Time|https://render.guildwars2.com/file/7B2193ACCF77E56C13E608191B082D68AA0FAA71/156659.png|15|Radius|Distance|https://render.guildwars2.com/file/B0CD8077991E4FB1622D2930337ED7F9B54211D5/156665.png|240|Number of Targets|Number|https://render.guildwars2.com/file/BBE8191A494B0352259C10EADFDACCE177E6DA5B/1770208.png|5|Combo Field|ComboField|https://render.guildwars2.com/file/59E0DB6A699810641C959926ADFEF73E08CC255B/156655.png|Poison,"Create a Radiation Field at target location, inflicting poison and weakness on foes.",https://render.guildwars2.com/file/3A6065D198993DB790D5137804F946FEAF2B3F0C/240694.png,Utility,None,"Guardian,Warrior,Engineer,Ranger,Thief,Elementalist,Mesmer,Necromancer",Utility,"GroundTargeted,NoUnderwater",12319,[&Bh8wAAA=]
Pain Inverter,Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|30|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/D104A6B9344A2E2096424A3C300E46BC2926E4D7/2440718.png|5|Resolution|Incoming condition damage decreased by 33%; stacks duration.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/289AA0A4644F0E044DED3D3F39CED958E1DDFF53/102880.png|5|Confusion|Damage received on skill activation; stacks intensity.|3|Radius|Distance|https://render.guildwars2.com/file/B0CD8077991E4FB1622D2930337ED7F9B54211D5/156665.png|360|Number of Targets|Number|https://render.guildwars2.com/file/BBE8191A494B0352259C10EADFDACCE177E6DA5B/1770208.png|5,Apply confusion to nearby foes. You gain resolution.,https://render.guildwars2.com/file/4C11580D300A0BA4E4535DDD704BB1ACE6BAD504/240695.png,Utility,None,"Guardian,Warrior,Engineer,Ranger,Thief,Elementalist,Mesmer,Necromancer",Utility,NoUnderwater,12320,[&BiAwAAA=]
Summon 7-Series Golem,Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|180|Duration|Time|https://render.guildwars2.com/file/7B2193ACCF77E56C13E608191B082D68AA0FAA71/156659.png|40,Summon a 7-Series attacking golem to fight for you.,https://render.guildwars2.com/file/78271C941F0EA364AE26169EDC59364FEB0CCC9A/240696.png,Elite,None,"Guardian,Warrior,Engineer,Ranger,Thief,Elementalist,Mesmer,Necromancer",Elite,NoUnderwater,12323,[&BiMwAAA=]
Summon D-Series Golem,Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|180|Duration|Time|https://render.guildwars2.com/file/7B2193ACCF77E56C13E608191B082D68AA0FAA71/156659.png|40,Summon a D-Series defensive golem.,https://render.guildwars2.com/file/50C2CA45076553093FCF2135FBD7439280EE67F1/240697.png,Elite,None,"Guardian,Warrior,Engineer,Ranger,Thief,Elementalist,Mesmer,Necromancer",Elite,NoUnderwater,12324,[&BiQwAAA=]
Summon Power Suit,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|200|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|240|Duration|Time|https://render.guildwars2.com/file/7B2193ACCF77E56C13E608191B082D68AA0FAA71/156659.png|60,Summon a Power Suit which you or your allies can enter and use to combat foes.,https://render.guildwars2.com/file/E630A9FECBF0DF10FDB54ED49E746D39741F49F4/240686.png,Elite,None,"Guardian,Warrior,Engineer,Ranger,Thief,Elementalist,Mesmer,Necromancer",Elite,"GroundTargeted,NoUnderwater",12325,[&BiUwAAA=]
Confusing Speech,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|360|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|45|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/289AA0A4644F0E044DED3D3F39CED958E1DDFF53/102880.png|5|Confusion|Damage received on skill activation; stacks intensity.|3|Number of Targets|Number|https://render.guildwars2.com/file/BBE8191A494B0352259C10EADFDACCE177E6DA5B/1770208.png|5,Confuse nearby foes with complex calculations.,https://render.guildwars2.com/file/BFBD285D7C5E70230EE0AD230BD44D0FC77E5AB4/240693.png,Toolbelt,None,Engineer,Toolbelt,,12334,[&Bi4wAAA=]
Pain Transference,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|900|Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|45|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|1|0.5,Send out a bolt that steals a boon from your foe and gives them one condition from you.,https://render.guildwars2.com/file/4C11580D300A0BA4E4535DDD704BB1ACE6BAD504/240695.png,Toolbelt,None,Engineer,Toolbelt,,12335,[&Bi8wAAA=]
